input,output,output-real
Bảo tàng Ánh Dương mở cửa từ mấy giờ đến mấy giờ?,Bảo tàng Ánh Dương mở cửa từ 08:00 đến 17:00 mỗi ngày. [1],Chưa có nguồn phù hợp để trả lời câu hỏi này.
What time does the Riverside Gallery open?,Riverside Gallery is open from 09:30 to 18:00 Tuesday through Sunday. [1],"Hiện tại các nguồn thông tin không cung cấp giờ mở cửa cụ thể cho Riverside Gallery. [1][2]

Thành phố Riverside, được mệnh danh là 'Thành phố của Nghệ thuật và Đổi mới', có nhiều bảo tàng và phòng trưng bày nghệ thuật tham gia sự kiện ArtsWalk vào thứ Năm đầu tiên của mỗi tháng. [1][2]

Thông tin về giờ mở cửa cụ thể cho 'Riverside Gallery' không được đề cập trong các tài liệu được cung cấp. Bạn nên kiểm tra trang web chính thức của địa điểm này trước khi ghé thăm."
Chợ đêm Hội An hoạt động đến mấy giờ?,Chợ đêm Hội An hoạt động từ 17:00 đến 22:00. [1],"Chợ đêm Nguyễn Hoàng tại Hội An có giờ hoạt động từ 17:00 đến 23:00. [1]

Chợ đêm Trần Phú hoạt động từ 18:00 đến 00:00. [1]

Các khu chợ đêm trên các tuyến đường như Bạch Đằng, Trần Quý Cáp, Tiểu La, Hoàng Văn Thụ có giờ hoạt động từ 18:00 đến 23:00. [1]

Hội An có nhiều khu chợ đêm khác nhau nằm trên các tuyến phố riêng biệt, mỗi khu chợ có khung giờ hoạt động cụ thể không hoàn toàn giống nhau."
Is the Sky Garden open on Monday?,Sky Garden is closed on Mondays. [1],"Các nguồn thông tin hiện có không cung cấp chi tiết cụ thể về giờ mở cửa hoặc lịch hoạt động vào thứ Hai của Sky Garden. [1][2][3]

Các nguồn dữ liệu được cung cấp chỉ liệt kê các câu hỏi thường gặp (FAQ) mà không hiển thị nội dung chi tiết về thời gian mở cửa cụ thể cho từng ngày trong tuần."
Khu di tích có nghỉ trưa không?,Khu di tích có nghỉ trưa; giờ mở cửa là 07:30–11:30 và 13:30–17:00. [1],"Di tích Nhà tù Hỏa Lò mở cửa tham quan liên tục từ 08:00 đến 17:00 tất cả các ngày trong tuần, bao gồm cả ngày Lễ và Tết, không nghỉ trưa. [1]

Di tích lịch sử Dinh Độc Lập mở cửa phục vụ khách tham quan tất cả các ngày trong tuần, kể cả thứ Bảy, Chủ nhật và Lễ, Tết từ 07:00 đến 18:00. [2][3]

Khu di tích Nhà sàn Bác Hồ có lịch hoạt động chia theo buổi, cụ thể vào mùa hè (từ 01/04 đến 31/10) mở cửa sáng từ 07:30 đến 11:00 và chiều từ 13:30 đến 16:00. [4]

Thông tin về giờ nghỉ trưa phụ thuộc vào từng địa điểm cụ thể. Trong khi Nhà tù Hỏa Lò và Dinh Độc Lập mở cửa xuyên suốt, Khu di tích Nhà sàn Bác Hồ có khung giờ nghỉ trưa cố định."
When is the aquarium last entry?,The aquarium's last entry is at 19:00 and the building closes at 19:30. [1],"Tại New England Aquarium, thời gian vào cửa cuối cùng là một giờ hai mươi phút trước giờ đóng cửa. [1]

Tại National Aquarium, thời gian vào cửa cuối cùng là 60 phút trước giờ đóng cửa. [2]

Thông tin về giờ vào cửa cuối cùng phụ thuộc vào từng thủy cung cụ thể. Nguồn cung cấp thông tin cho New England Aquarium và National Aquarium, nhưng không đề cập đến quy định này cho các thủy cung khác như Thủy cung Times City."
Ngày lễ này công viên có mở cửa không?,Công viên ven hồ mở cửa từ 06:00 đến 21:00 vào ngày lễ. [1],"Công viên nước Thanh Lễ mở cửa đón khách tất cả các ngày trong tuần, từ Thứ Hai đến Chủ Nhật, với khung giờ hoạt động cố định từ 7h00 sáng đến 21h00 tối. [1]

Giá vé tại công viên nước Thanh Lễ có thể thay đổi tùy theo chính sách của ban quản lý, đặc biệt vào các dịp lễ, Tết hoặc các sự kiện đặc biệt. [1]

Công viên Thủ Lệ vẫn mở cửa đón khách tham quan trong các dịp nghỉ lễ như 30/4 và 1/5. [2]

Thông tin về việc mở cửa vào ngày lễ cụ thể phụ thuộc vào từng công viên. Đối với Công viên nước Thanh Lễ, nguồn tin không khẳng định trực tiếp việc đóng hay mở cửa vào ngày lễ mà chỉ lưu ý giá vé có thể thay đổi vào các dịp này. Đối với Công viên Thủ Lệ, nguồn tin xác nhận công viên vẫn hoạt động trong dịp nghỉ lễ 30/4-1/5."
How long is the weekend craft market open?,The weekend craft market is open from 08:00 until 16:00 on Saturday and Sunday. [1],"Portland Saturday Market is open every Saturday from March through December, from 10 a.m. to 5 p.m. [1]

Eugene Saturday Market operates every Saturday in downtown Eugene from 10 a.m. to 4 p.m. during its regular season. [2]

The provided sources refer to specific craft markets in Portland and Eugene, Oregon. There is no information regarding a general 'weekend craft market' without a specific location. Please note that the Portland Saturday Market is explicitly not open on Sundays."
Phố cổ có giới hạn giờ tham quan buổi tối không?,Khách có thể tham quan phố cổ đến 23:00. [1],"Phố cổ Hà Nội là một địa điểm du lịch nổi tiếng, nơi du khách có thể thoải mái tham quan cả ban ngày lẫn ban đêm. [1][2]

Du khách có thể trải nghiệm không khí sôi động tại phố bia Tạ Hiện vào buổi tối hoặc tham quan chợ đêm phố cổ. [3][2]

Các nguồn cung cấp không đề cập đến bất kỳ quy định cụ thể nào về giới hạn giờ tham quan buổi tối tại khu vực phố cổ Hà Nội. Đối với các địa điểm tham quan cụ thể bên trong phố cổ (như đền, chùa hoặc các điểm có thu phí), du khách nên tìm hiểu kỹ quy định riêng của từng nơi."
Does the temple open earlier for sunrise visits?,Sunrise access begins at 05:30; the main temple halls open at 07:00. [1],"Dữ liệu hiện tại chỉ cung cấp thông tin về thời gian mặt trời mọc và lặn tại thành phố Temple, Texas, Hoa Kỳ, chứ không đề cập đến bất kỳ ngôi đền hay địa điểm tham quan cụ thể nào tại đây. [1]

Nguồn dữ liệu không chứa thông tin về các ngôi đền hoặc quy định giờ mở cửa cho các địa điểm tham quan tại Temple, Texas."
